,importance
svcscan.shared_process_services,0.48788407
svcscan.kernel_drivers,0.2851149
svcscan.nservices,0.21188395
svcscan.process_services,0.002795499
psxview.not_in_deskthrd,0.002003737
psxview.not_in_ethread_pool_false_avg,0.0007987577
callbacks.ncallbacks,0.0007167482
handles.avg_handles_per_proc,0.0007101425
psxview.not_in_deskthrd_false_avg,0.0006655065
ldrmodules.not_in_init_avg,0.00058793183
malfind.commitCharge,0.00058413635
ldrmodules.not_in_load_avg,0.000407559
handles.nhandles,0.00039734595
handles.nmutant,0.00035029842
ldrmodules.not_in_mem_avg,0.00034404785
psxview.not_in_csrss_handles_false_avg,0.0003227657
handles.ndesktop,0.0003150747
handles.nfile,0.00031265602
handles.nkey,0.00029680523
pslist.avg_threads,0.0002728201
psxview.not_in_pslist_false_avg,0.0002680738
pslist.nproc,0.00026666097
malfind.ninjections,0.00025879452
pslist.avg_handlers,0.00025279605
psxview.not_in_ethread_pool,0.00023878145
handles.ndirectory,0.00022837405
psxview.not_in_session_false_avg,0.00021273778
handles.nsemaphore,0.00017406254
psxview.not_in_csrss_handles,0.00015826151
psxview.not_in_pspcid_list_false_avg,0.0001575099
handles.ntimer,0.00013970074
handles.nevent,0.00010526158
pslist.nppid,0.000100543344
svcscan.nactive,9.817429e-05
psxview.not_in_pslist,9.598387e-05
dlllist.avg_dlls_per_proc,9.3793016e-05
handles.nthread,8.8924884e-05
dlllist.ndlls,7.868107e-05
ldrmodules.not_in_init,7.288085e-05
malfind.uniqueInjections,6.566056e-05
malfind.protection,5.506231e-05
ldrmodules.not_in_load,2.4503772e-05
handles.nsection,0.0
ldrmodules.not_in_mem,0.0
psxview.not_in_session,0.0
psxview.not_in_pspcid_list,0.0
psxview.not_in_eprocess_pool,0.0
psxview.not_in_eprocess_pool_false_avg,0.0
modules.nmodules,0.0
svcscan.fs_drivers,0.0
callbacks.nanonymous,0.0
callbacks.ngeneric,0.0
